"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SRR1554534","SRR1554535","SRR1554568","SRR1554561","SRR1554567","SRR1554536","SRR1554541","SRR1554539","SRR1554538","SRR1554537"
"ABI3BP",702.86192270748,1.90261537532263,0.364736476174421,5.21641102441528,1.82423140314759e-07,6.37100558483507e-07,7.5195803590333,8.41939666609581,9.69131008316712,7.84373640863795,10.041557173354,9.14371635583502,9.98008783243638,8.48580341965676,9.94924615791681,9.8772225763397
"ABL2",9648.68687990549,1.31112759359986,0.254957138968317,5.14254120871192,2.7104696393854e-07,9.27752293436742e-07,12.4779058337496,12.3186085456317,13.3874314334383,12.7026214042409,13.5024383500021,11.9142273434533,13.9317208997021,12.9948952445411,13.7353932062711,13.5986234302146
"ABLIM2",8945.24434395846,-3.35086686136796,0.383044106719276,-8.74799220922025,2.17182256144123e-18,2.44207626345039e-17,14.1272478423004,13.4268698333348,10.4656552386335,14.2712645297092,10.7310628243992,12.4936497488643,11.4785589756957,13.7062047124128,10.5641902994323,10.9907703518927
"ABR",67579.1373696605,-1.2261243402147,0.227447082604107,-5.39081146338062,7.01402331058205e-08,2.5734175226604e-07,16.562265553783,16.0397234690874,15.2387255640271,16.9071702036117,15.3255462288724,16.048982276828,15.5266195973391,16.4172379631252,15.2802849006335,15.5648521552399
"ABRACL",2381.9942215641,1.3779009952402,0.24394566475238,5.64839304128997,1.61954564923388e-08,6.41552530945555e-08,10.1433007384387,10.8265069360592,12.0141590872063,10.2425454254112,11.5597117557252,10.2766614828534,11.3756838194557,10.7605376726358,11.4249882232671,11.6841248148275
"ABRAXAS1",732.995391432141,1.2721144801923,0.252474056184174,5.03859485373944,4.68961993831223e-07,1.55659540288204e-06,8.5441783840324,9.05066230330299,9.97778808602181,8.42617947093553,9.82703069119537,8.75451475147682,9.82628031051271,9.35331071856586,9.87465471466997,9.92939838959565
"ABTB1",7360.11638440727,-2.43535305785916,0.27030613756883,-9.00961065761602,2.06789314832302e-19,2.56800770813029e-18,13.5510215961133,13.2761315717081,11.9310490288865,13.7550125231796,11.2032129811194,13.1548401022096,11.1986255962889,13.2548156251244,11.3715256158093,10.8080005822797
"ACACB",3833.14755911858,-1.97856211354773,0.453212154552687,-4.36564221341447,1.26749804287378e-05,3.43863611877022e-05,12.6064886432346,11.843885453379,10.941669295645,12.134428382731,10.4807586022116,13.2549950636375,9.57833890812208,11.2832335575474,11.0505062474074,11.0815022502325
"ACADS",1151.78559656645,-2.3058543010294,0.44750763097099,-5.15265917594795,2.56818465692381e-07,8.81000731766121e-07,10.2992728628588,10.2759547955905,8.90944761527733,10.0508752183962,9.06934842288692,11.7531353230093,8.11227114387114,9.94909517228102,9.05418879660821,8.57684469605881
"ACAN",231.771728477165,-3.06153327476062,0.435269458645701,-7.03365056736644,2.01198634955516e-12,1.25533982850978e-11,8.74322381003871,7.94400377687384,6.12920592576756,8.14587354681277,5.55174098392906,8.49366383675826,6.71893628637428,7.70668222425798,6.24411793655501,5.69865825563741
"ACAT2",7208.10559636968,1.31333084653306,0.320485860867667,4.09793693543116,4.16848807542667e-05,0.000104624990477552,12.0300161192592,12.5634107775942,12.8127521923743,11.9698086253404,13.1334742775032,11.5213520213066,13.8579660792156,12.2230299763143,13.2907929238394,12.6254857285849
"ACBD4",1884.96883478249,-2.10142389069323,0.294198258037823,-7.14288352592169,9.1393066285447e-13,5.91968243753371e-12,11.5798679958001,11.0879500094703,9.69256672796045,11.4887886963198,9.70213349220632,11.8442446698333,9.10504435175966,10.6906513946273,9.71007628446349,9.93290842078038
"ACBD7",9389.97097662575,-3.05462894815878,0.601736820919975,-5.07635371804015,3.84746751357987e-07,1.29176319712179e-06,13.0168399883383,13.5378892228556,11.8790888779911,12.6186994727924,11.1807271604678,15.1047329409103,9.61403730268024,12.4687009619187,11.0594167584786,11.1903630282101
"ACHE",2993.74863360286,-2.04167723362857,0.437427693982784,-4.66746221538714,3.04942805465507e-06,9.02684418016886e-06,12.3434279630581,11.9895901420751,9.80222033287321,12.5774128379538,9.98170659574226,10.9102531122268,11.2656264854302,11.8825327295893,9.76084887894595,10.1631841250311
"ACIN1",24419.3761027206,1.26366392426242,0.194100383733516,6.51036283368369,7.49694987012288e-11,3.93449904758893e-10,14.0673926387332,13.6882909669392,15.2928419691249,14.0695992201091,14.8857951469287,13.947563450625,14.5843654690873,13.6937656975558,15.0373052854941,14.9919578570435
"ACO2",20804.499006957,-1.99762901438985,0.14287234086572,-13.9819156198144,2.01003947274004e-44,1.4940971292324e-42,15.0108064867904,14.7289482987821,13.1948991505728,15.0514943320464,13.1552151516331,14.9678954798651,13.1908177327345,14.5664542446614,13.1702085564565,13.1966635736631
"ACOT1",427.389016012275,-2.61390068876739,0.545867162551889,-4.78852890975817,1.68008363127322e-06,5.17961575735101e-06,9.54610853315662,9.06665622004049,6.40026866992611,8.16907702964258,7.46964895874103,10.0540137534618,7.23066072187482,7.56425451853469,7.44769962274828,7.1160344959142
