"","SRR1554534","SRR1554535","SRR1554568","SRR1554561","SRR1554567","SRR1554536","SRR1554541","SRR1554539","SRR1554538","SRR1554537"
"RNF31",12.638237071717,12.2613689307357,12.2076346925424,12.5985035175505,12.1405505630704,12.1594372115182,11.8018287848261,12.0754655564146,12.1494562321543,12.1955028054526
"LRRC37A4P",9.48653273132326,9.32117975144902,10.4098024130597,9.3138019048776,11.245711990457,8.84018533568721,11.0583104385492,9.64778700880006,11.2312558769498,11.0746779825421
"OXR1",14.2117598312355,14.8749294443961,12.2585327940304,14.5845319047439,12.5415400747472,13.106974065001,12.5781720765928,15.4713884223522,12.3053287571846,12.0323801472102
"UACA",11.0003738512621,11.680989737132,11.7580364734582,10.306384959493,12.3829666222133,13.0158041300464,13.5695608444267,11.3436494065825,12.4755001207377,13.0223938207182
"TMEM45A",7.24442545527093,7.80937398103425,7.06442261956273,7.04091704184952,7.53633579290087,8.31299503768906,7.19011606219494,6.92757993532499,7.5719551050008,6.56264622311489
"FEZF2",12.0247249587718,11.8237810684725,14.9123361484843,11.5673504827063,13.3416712863462,11.6001459416945,12.6691251801766,11.2987636445157,12.7962962038489,13.846527807372
"TAPBPL",9.23980509670269,9.31913998047857,7.22430913059845,8.74524639681766,7.4527638809961,10.1535379712189,6.80724502417695,8.56182229653826,7.16514918699402,7.29131603694729
"IFT57",12.2083947156002,12.5669093459843,11.2486538496568,12.3064056086169,11.6835300316942,12.1820444967366,11.9180843169961,12.7853945898046,11.5217248636246,11.5069741209224
"ARGLU1",13.7968950954105,14.0188365915852,15.5586881056163,13.981261156363,15.2358598214882,13.9965090379807,14.8644537798337,13.9569995676901,15.0465016242059,14.9466885211373
"KIF26B",10.5836718115275,9.71907420727771,11.4474078674465,10.9860544223583,11.5356463408594,10.6048945562251,12.4427493686226,10.5461103435488,12.8883203414961,13.5049859197266
"SOBP",14.2497103167756,13.6736389871491,14.665847771849,14.4120398328432,14.8249730110089,13.8253615253793,15.6690533399758,14.1461572337553,14.955006635424,15.3281993935355
"RADX",9.88189454688842,10.2536755276736,11.1561497039428,10.2027927812332,10.7479144403054,10.6379985215458,10.0552858246141,10.5826495735601,10.5750071801311,10.1340544152215
"CCDC186",11.4282177443918,11.4479600455303,12.5686711214478,11.6581582913891,12.1638740387974,11.3224075063046,13.0091749993185,12.4157595303514,12.5114453415637,12.4776215935599
"PPP1R3D",9.97210143626184,10.1035816575681,8.43181356961006,9.68344314040561,8.58019407483406,10.9186409164388,8.50517807736135,9.69157922038788,8.58744054283931,8.55672363920414
"MED9",12.1863045684585,11.8959974808915,11.2905600066423,12.24370299121,11.5549900539171,12.2407579974897,11.4313146786797,11.8121723572851,11.3916748531364,11.5385106739927
"TMEM51",9.31505031379898,9.11248278300852,7.89790609931751,9.03592163180145,8.32184200269099,10.8016965579631,8.14804322585613,8.64550172030631,8.02047016625968,7.63733130308644
"NTAQ1",9.96464309766936,10.4073160659172,10.4245630940752,9.95283644341586,10.0821322984793,10.3088090633877,10.7727413990556,10.2958935616449,10.6670663005211,10.7340683834272
"GPATCH1",10.8944861653982,10.6773103085279,11.4650950700439,11.0044660679182,11.4625674359284,10.1924225664796,11.1781050198643,10.6683703474184,11.3640724600994,11.4251056642512
"SAMD4B",14.3610951835405,13.9343059628082,13.5643805483445,14.4740962911682,13.1680273762165,13.8581767726221,12.9660440319506,13.6536607948938,13.3075383188212,13.3542860015046
"EBLN2",6.42507737434842,6.28951687616622,8.37960497718105,7.04246631154555,7.92348223332815,6.9363313329072,7.83035710233492,7.03154438413302,8.50208021225079,8.51117218945944
"PPP1R7",13.6805988162865,13.7227142407559,12.3707206437604,13.710651009933,12.6525460708116,13.3077201741836,12.8094635419949,13.5536616823195,12.5317843261654,12.533326436386
"WDR70",10.9216752054325,11.0034741829366,11.9796567921118,10.9596116403326,11.9421198181067,10.6379531736012,11.7111866678454,11.0044544167917,11.6599533117983,11.6468769735586
"DMAC2",12.2367985012495,12.2389783267809,12.1337401222722,12.3382909713469,11.5697353174133,12.0475695906167,11.7294312696155,11.982750971174,11.6066509968902,11.7778338235107
"ATG2B",13.1444913949154,13.3321989999181,13.4146295111989,13.5106426672601,13.1632143777352,12.7557923298528,13.3847915660799,13.9671451970973,13.3516757839231,13.175437012632
"RALGPS2",9.95434622089356,10.139292486511,12.5888707651957,10.0982512634749,12.4965655944384,9.89377147192063,13.0213837459479,11.1743469295332,12.5411513732208,12.4008323154153
"GPATCH2",9.77999188267155,9.52297656716786,10.3696824999203,9.78350340062383,10.3295412522903,9.2694718136281,10.5042733875087,10.1117888365378,10.491565965868,10.3699372240227
"ANO1",9.05211212134401,8.6881450792803,6.32542019874845,8.86059213356608,6.21420213152051,10.2656877270247,6.28796446841776,8.91223222388277,5.97052988461921,5.88141037792519
"BSDC1",14.1894637365821,13.9629218467348,13.7988387219955,14.3287172980294,13.8774781166037,14.0011761567965,13.6322795660525,13.8445737371024,13.8360472228564,13.9407181039449
"AGGF1",12.5842123056114,12.9087301924246,12.6912317107128,12.7693155432898,12.7896328994668,12.4269235748512,12.8572040418081,13.2258881798408,12.5885754899917,12.6628932874495
"PPP1R8",12.0927579332129,12.4584919329857,12.4241277414656,12.0476278794239,12.8248847465265,12.5235398265423,12.9117097469629,12.0309353938718,12.7055150448094,12.7340757782139
"MAGOHB",9.0274011657209,9.64221019072788,10.6403713580394,9.23545404807511,10.3643841427666,10.1718348735063,10.4814588286335,9.21882894391246,10.4517073494604,10.4422352395846
"PLEKHJ1",12.4320115927536,12.0615797697729,12.2408455431225,12.4777654323964,12.2845764659813,12.7681386521013,12.0627905206458,11.8040268365279,12.1153820301421,12.0925040012205
"DYNC2I1",12.3645948136991,12.1838980830716,12.4588204669668,12.3524355411132,12.3039179449728,12.0965318965561,12.2056420204224,12.1710029820142,12.2039196251595,12.378511172257
"XKR8",9.60634854762668,9.08843235065861,9.99927552105065,9.49025995681235,10.0708613917102,10.3383926066471,9.9543449876935,8.95766528568661,9.99945086241967,9.94272712807623
"ARHGAP17",11.327291062341,11.2400039016474,12.2297384213128,11.0578837650804,11.9013394863824,11.7456251755664,11.6492090097118,10.933295194652,11.9275443976238,11.9307783980356
"TMEM39B",11.0623456012399,10.8424821764297,11.5188163944585,10.8797410214872,11.3651424049199,10.998978061446,11.0717715886438,10.7182224437802,11.1865196094498,11.5357847655214
"SLC6A15",12.5571023914553,12.8895483816855,12.6630456273458,12.7642259058722,12.6056137163782,10.6533311138509,13.5677741732079,13.3064120062044,12.7485759842287,13.1814640271718
"CRTAC1",12.9473098776851,12.4541901936036,8.136719004047,12.9145905415316,10.4211422236029,10.6651822709515,10.3453242454784,12.5137151795591,10.2321707607381,10.0056924654038
"PRPF38B",12.5812323643338,12.7628513324338,13.7780235265073,12.6134755228331,13.6136098824259,13.1085570271707,13.3410321757938,12.4560925688803,13.5300124057407,13.4881648441665
"FANCL",10.270323676524,10.7610891443398,11.6974666230396,10.1232197176485,11.3165064007672,10.1427813511289,10.8043793145218,10.5948504518458,11.1888168387308,11.474555284967
"AKIRIN2",12.8580955361904,12.998828177829,13.3255828909797,13.105795079745,13.3378113277116,12.3375096361013,13.0850653218654,12.9702609071638,13.3705284772543,13.4706608086459
"PIWIL2",6.6404075787587,6.26303880615821,7.45061745766901,7.21652017674099,7.79953301649808,6.05936495688391,7.59272016427142,6.15616517114038,7.55200564041749,7.60315202109452
"CEP192",11.1655599456564,11.2765320754081,12.337205261408,11.267423780816,11.8503814253334,11.3793181015656,11.9030425261514,11.7529019841895,12.1046052935831,11.9556958556815
"HEATR1",11.734870463494,12.1354514653757,12.9099524708403,11.7791414577954,13.0656050941843,11.906507820023,13.7123712215782,12.5642769369774,13.3757325695873,13.9698664052382
"TRIM68",10.8605694245668,10.7255062292942,10.9221533066496,10.9269868346419,10.7262077950323,10.6516859648357,10.8693946964792,10.6727593257403,10.749831914969,10.8409347337
"ANO10",11.6000497644017,11.8009489510102,11.1388600223697,11.4765954822019,11.0649779244814,11.9074913446091,11.5524597254207,11.7219417840182,11.1683917529213,11.2531135652876
"ARMC4",6.54200067581168,6.48890019044607,7.19954913057788,6.32321313396668,6.88739172469847,6.98522490612391,5.46958010171768,6.87506908478073,6.69846607113384,6.91143063191329
